state,zip_code,locations,active_locations,inactive_locations,unknown_status_locations,kroger_banner_locations,brands
KY,41076,2,2,0,0,2,1
KY,41101,2,2,0,0,2,1
KY,42003,2,2,0,0,2,1
KY,42104,2,2,0,0,2,1
KY,42301,2,2,0,0,2,1
KY,42501,2,2,0,0,2,1
MI,48060,2,2,0,0,2,1
MI,48080,2,2,0,0,2,1
MI,48092,2,2,0,0,2,1
MI,48170,2,2,0,0,2,1
MI,48178,2,2,0,0,2,1
MI,48185,2,2,0,0,2,1
MI,48186,2,2,0,0,2,1
MI,48197,2,2,0,0,2,1
MI,48316,2,2,0,0,2,1
MI,48346,2,2,0,0,2,1
MI,48390,2,2,0,0,2,1
MI,48532,2,2,0,0,2,1
MI,48843,2,2,0,0,2,1
MS,38637,2,2,0,0,2,1
MS,39110,2,2,0,0,2,1
MS,39232,2,2,0,0,2,1
NC,27103,2,2,0,0,0,1
NC,27511,2,2,0,0,0,1
NC,27513,2,2,0,0,0,1
NC,27514,2,2,0,0,0,1
NC,27517,2,2,0,0,0,1
NC,27518,2,2,0,0,0,1
NC,27523,2,2,0,0,0,1
NC,27540,2,2,0,0,0,1
NC,27609,2,2,0,0,0,1
NC,27613,2,2,0,0,0,1
NC,27707,2,2,0,0,0,1
NC,28025,2,2,0,0,0,1
NC,28027,2,2,0,0,0,1
NC,28031,2,2,0,0,0,1
NC,28036,2,2,0,0,0,1
NC,28105,2,2,0,0,0,1
NC,28117,2,2,0,0,0,1
NC,28211,2,2,0,0,0,1
NC,28269,2,2,0,0,0,1
NC,28278,2,2,0,0,0,1
NC,28562,2,2,0,0,0,1
NE,68134,2,2,0,0,0,1
NV,89014,2,2,0,0,0,1
NV,89031,2,2,0,0,0,1
NV,89103,2,2,0,0,0,1
NV,89108,2,2,0,0,0,1
NV,89110,2,2,0,0,0,1
NV,89117,2,2,0,0,0,1
NV,89123,2,2,0,0,0,1
NV,89147,2,2,0,0,0,1
OH,43015,2,2,0,0,2,1
OH,43016,2,2,0,0,2,1
OH,43026,2,2,0,0,2,1
OH,43065,2,2,0,0,2,1
